N;Endereço;Ebionita;Brit Hadasha Netzari;BJ;ACF;ARC;BRP;SBP;RCS;ARA;AKJ;TIS;NA28;PEH;PHA;PYP
11;Mat 1:11;"Yoshiyahu gerou a Yechonyah e a seus irmãos no exílio em babilônia;";a Yoshiyahu nasceram Y'chanyah e seus irmãos, no tempo da deportação para Bavel.;Josias gerou Jeconias e seus irmãos por ocasião do exílio na Babilônia.; E Josias gerou a Jeconias e a seus irmãos na deportação para Babilônia.; e Josias gerou a Jeconias e a seus irmãos na deportação para a Babilônia.; E Josias gerou a Jeconias e a seus irmäos na deportaçäo para Babilónia.; Josias foi pai de Jeconias e dos seus irmäos, no tempo do exílio para a Babilónia.;Josias foi pai de Jeconias e dos seus irmãos, no tempo do exílio para a Babilónia.; Josias gerou a Jeconias e a seus irmãos, no tempo do exílio na Babilônia.; Josias gerou Jeconias e a seus irmãos no tempo em que foram levados cativos para a Babilônia.; Ἰωσείας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.; Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.;יושׁיא אולד ליוכניא ולאחוהי בגלותא דבבל;יֻ֣ושִׁיָא אַולֵד̅ ל֣יֻוכַ̅ניָא ולַאחַוה֗י֞ בּגָ̅לֻותָ̅א דּ֣בָ̅בֵ̅ל֖ ;  Lbbd  Fwlgb  Yhwx0lw  0ynkwyl  dlw0  0y4wy  
12;Mat 1:12;"Depois do exílio de babilônia, Yechonyah gerou a Shealtiel; e Shealtiel gerou a Zerubavel;";"Depois da deportação para Bavel nasceu a Y'chanyah, Sh'altiel; a Sh'altiel nasceu Z'rubavel;";Depois do exílio na Babilônia, Jeconias gerou Salatiel, Salatiel gerou Zorobabel, ;" E, depois da deportação para a Babilônia, Jeconias gerou a Salatiel; e Salatiel gerou a Zorobabel;"; E, depois da deportação para a Babilônia, Jeconias gerou a Salatiel, e Salatiel gerou a Zorobabel,;" E, depois da deportaçäo para a Babilónia, Jeconias gerou a Salatiel; e Salatiel gerou a Zorobabel;"; Depois do exílio na Babilónia, Jeconias foi pai de Salatiel e Salatiel foi pai de Zorobabel.;Depois do exílio na Babilónia, Jeconias foi pai de Salatiel e Salatiel foi pai de Zorobabel.;" Depois do exílio na Babilônia, Jeconias gerou a Salatiel; e Salatiel, a Zorobabel;";" Depois do exílio na Babilônia, Jeconias gerou Salatiel; Salatiel gerou Zorobabel;"; μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ, Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ,; Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ, Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβαβέλ,;מן בתר גלותא דין דבבל יוכניא אולד לשׁלתאיל שׁלתאיל אולד לזורבבל;מֵן בָּתַ̅ר גָּלֻותָ̅א דֵּין דּ֣בָ̅בֵ̅ל֑ יֻ֣וכַ̅ניָא אַולֵד̅ ל֣שֵׁלַתִ̅איל֖ שֵׁ֣לַתִ̅איל אַולֵד̅ ל֣זֻורבָּבֵ̅ל֖ ;  Lbbrwzl  dlw0  Ly0tl4  Ly0tl4l  dlw0  0ynkwy  Lbbd  Nyd  Fwlg  rtb  Nm  
13;Mat 1:13;"Zerubavel gerou a Avihud; e Avihud gerou a Avner; Avner gerou a Elyakim; e Elyakim gerou a Azur;";"a Z'rubavel nasceu Av'ichud; a Av'ichud nasceu Elyakim; a Elyakim nasceu Azur;";Zorobabel gerou Abiud, Abiud gerou Eliacim, Eliacim gerou Azor, ;" E Zorobabel gerou a Abiúde; e Abiúde gerou a Eliaquim; e Eliaquim gerou a Azor;"; e Zorobabel gerou a Abiúde, e Abiúde gerou a Eliaquim, e Eliaquim gerou a Azor,;" E Zorobabel gerou a Abiúde; e Abiúde gerou a Eliaquim; e Eliaquim gerou a Azor;"; Zorobabel foi pai de Abiud, Abiud foi pai de Eliaquim e Eliaquim foi pai de Azur.;Zorobabel foi pai de Abiud, Abiud foi pai de Eliaquim e Eliaquim foi pai de Azur.;" Zorobabel gerou a Abiúde; Abiúde, a Eliaquim; Eliaquim, a Azor;";" Zorobabel gerou Abiúde; Abiúde gerou Eliaquim, e Eliaquim gerou Azor;"; Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ, Ἐλιακεὶμ δὲ ἐγέννησεν τὸν Ἀζώρ,; Ζοροβαβὲλ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακίμ, Ἐλιακὶμ δὲ ἐγέννησεν τὸν Ἀζώρ,;זורבבל אולד לאביוד אביוד אולד לאליקים אליקים אולד לעזור;זֻ֣ורבָּבֵ̅ל אַולֵד̅ לַ֣אבִ̅יֻוד֖̅ אַ֣בִ̅יֻוד̅ אַולֵד̅ לֵ֣אליָקִים֖ אֵ֣ליָקִים אַולֵד̅ ל֣עָזֻור֖ ;  rwz9l  dlw0  Myqyl0  Myqyl0l  dlw0  dwyb0  dwyb0l  dlw0  Lbbrwz  
14;Mat 1:14;"Azur gerou a Tzadok; Tzadok gerou a Amon; e Amon gerou a Elihud;";"a Azur nasceu Tzadok; a Tzadok nasceu Ammon; a Ammon nasceu El'ichud;";Azor gerou Sadoc, Sadoc gerou Aquim, Aquim gerou Eliud, ;" E Azor gerou a Sadoque; e Sadoque gerou a Aquim; e Aquim gerou a Eliúde;"; e Azor gerou a Sadoque, e Sadoque gerou a Aquim, e Aquim gerou a Eliúde,;" E Azor gerou a Sadoque; e Sadoque gerou a Aquim; e Aquim gerou a Eliúde;"; Azur foi pai de Sadoc, Sadoc foi pai de Jaquin e Jaquin foi pai de Eliud.;Azur foi pai de Sadoc, Sadoc foi pai de Jaquin e Jaquin foi pai de Eliud.;" Azor gerou a Sadoque; Sadoque, a Aquim; Aquim, a Eliúde;";" Azor gerou Sadoque; Sadoque gerou Aquim; Aquim gerou Eliúde,"; Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ, Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,; Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχίμ, Ἀχὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,;עזור אולד לזדוק זדוק אולד לאכין אכין אולד לאליוד;עָ֣זֻור אַולֵד̅ ל֣זָדֻ̅וק֖ זָ֣דֻ̅וק אַולֵד̅ לַ֣אכִ̅י֖ן אַ֣כִ̅ין אַולֵד̅ לֵ֣אלִיֻוד֖̅ ;  dwyl0l  dlw0  Nyk0  Nyk0l  dlw0  Qwdz  Qwdzl  dlw0  rwz9  
15;Mat 1:15;"E Elihud gerou a El'azar; e El'azar gerou a Matan; e Matan gerou a Ya'akov;";"a El'ichud nasceu El'azar; a El'azar nasceu Mattan; a Mattan nasceu Ya'akov;";Eliud gerou Eleazar, Eleazar gerou Matã, Matã gerou Jacó, ;" E Eliúde gerou a Eleázar; e Eleázar gerou a Matã; e Matã gerou a Jacó;"; e Eliúde gerou a Eleazar, e Eleazar gerou a Matã, e Matã gerou a Jacó,;" E Eliúde gerou a Eleázar; e Eleázar gerou a Matä; e Matä gerou a Jacó;"; Eliud foi pai de Eleazar, Eleazar foi pai de Matan e Matan foi pai de Jacob.;Eliud foi pai de Eleazar, Eleazar foi pai de Matan e Matan foi pai de Jacob.;" Eliúde gerou a Eleazar; Eleazar, a Matã; Matã, a Jacó.";" Eliúde gerou Eleazar; Eleazar gerou Matã, Matã gerou Jacó;"; Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Μαθθάν, Μαθθὰν δὲ ἐγέννησεν τὸν Ἰακώβ,; Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν, Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ,;אליוד אולד לאליעזר אליעזר אולד למתן מתן אולד ליעקוב;אֵ֣לִיֻוד̅ אַולֵד̅ לֵ֣אלִיעָזָר֖ אֵ֣לִיעָזָר אַולֵד̅ ל֣מָתָ֖̅ן מָ֣תָ̅ן אַולֵד̅ ל֣יַעקֻוב֖̅ ;  Bwq9yl  dlw0  Jtm  Jtml  dlw0  rz9yl0  rz9yl0l  dlw0  dwyl0  
16;Mat 1:16;E Ya'akov gerou a Yosseph, e Yosseph gerou a Yeshua, o chamado Mashiach.;e a Ya'akov nasceu Yosef, pai de Miriyam, da qual nasceu Yeshua, que é chamado o Mashiach.;Jacó gerou José, o esposo de Maria, da qual nasceu Jesus chamado Cristo. ; E Jacó gerou a José, marido de Maria, da qual nasceu JESUS, que se chama o Cristo.; e Jacó gerou a José, marido de Maria, da qual nasceu JESUS, que se chama o Cristo.; E Jacó gerou a José, marido de Maria, da qual nasceu JESUS, que se chama o Cristo.; Jacob foi pai de José, esposo de Maria, da qual nasceu Jesus, chamado Messias.;Jacob foi pai de José, esposo de Maria, da qual nasceu Jesus, chamado Messias.; E Jacó gerou a José, marido de Maria, da qual nasceu Jesus, que se chama o Cristo.; Jacó gerou José, marido de Maria, da qual nasceu JESUS, denominado o Cristo.; Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός.; Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός.;יעקוב אולד ליוסף גברה דמרים דמנה אתילד ישׁוע דמתקרא משׁיחא;יַ֣עקֻוב̅ אַולֵד̅ ל֣יַוסֵף̅ גַּב̅רָה דּ֣מַריַם֑ דּמֵנָה אֵתִ̅ילֵד̅ יֵ֣שֻׁוע דּמֵת̅קרֵא משִׁיחָא ס ;  0xy4m  0rqtmd  (w4y  dlyt0  hnmd  Myrmd  hrbg  Pswyl  dlw0  Bwq9y  
17;Mat 1:17;Não consta na obra original.;"De sorte que todas as gerações, desde Avraham até David, são catorze gerações; e desde David até a deportação para Bavel, catorze gerações; e desde a deportação para Bavel até o Mashiach, catorze gerações.";"Portanto, o total das gerações é: de Abraão até Davi, quatorze gerações; de Davi até o exílio na Babilônia, quatorze gerações; e do exílio na Babilônia até Cristo, quatorze gerações. ";" De sorte que todas as gerações, desde Abraão até Davi, são catorze gerações; e desde Davi até a deportação para a Babilônia, catorze gerações; e desde a deportação para a Babilônia até Cristo, catorze gerações.";" De sorte que todas as gerações, desde Abraão até Davi, são catorze gerações; e, desde Davi até a deportação para a Babilônia, catorze gerações; e, desde a deportação para a Babilônia até Cristo, catorze gerações.";" De sorte que todas as geraçöes, desde Abraäo até Davi, säo catorze geraçöes; e desde Davi até a deportaçäo para a Babilónia, catorze geraçöes; e desde a deportaçäo para a Babilónia até Cristo, catorze geraçöes."; No conjunto säo catorze gerações de Abraäo até David, outras catorze de David até ao exílio para a Babilónia e mais catorze do exílio até ao Messias. ;No conjunto são catorze gerações de Abraão até David, outras catorze de David até ao exílio para a Babilónia e mais catorze do exílio até ao Messias . ;" De sorte que todas as gerações, desde Abraão até Davi, são catorze; desde Davi até ao exílio na Babilônia, catorze; e desde o exílio na Babilônia até Cristo, catorze.";" Portanto, o total das gerações é: de Abraão até Davi, quatorze gerações; de Davi até o exílio na Babilônia, quatorze gerações; e do exílio na Babilônia até Cristo, quatorze gerações. A linhagem divina de Cristo"; Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυεὶδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυεὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ Χριστοῦ γενεαὶ δεκατέσσαρες.; Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ Χριστοῦ γενεαὶ δεκατέσσαρες.;כלהין הכיל שׁרבתא מן אברהם עדמא לדויד שׁרבתא ארבעסרא ומן דויד עדמא לגלותא דבבל שׁרבתא ארבעסרא ומן גלותא דבבל עדמא למשׁיחא שׁרבתא ארבעסרא;כֻּלהֵין הָכִ̅יל שַׁרבָּתָ̅א֞ מֵן אַ֣ב̅רָהָם עדַ̅מָא ל֣דַ̅וִיד֑̅ שַׁרבָּתָ̅א֞ אַרבַּעֵסרֵא֖֞ ומֵן דַּ֣וִיד̅ עדַ̅מָא לגָ̅לֻותָ̅א דּ֣בָ̅בֵ̅ל֑ שַׁרבָּתָ̅א֞ אַרבַּעֵסרֵא֖֞ ומֵן גָּלֻותָ̅א דּ֣בָ̅בֵ̅ל עדַ̅מָא לַמשִׁיחָא֑ שַׁרבָּתָ̅א֞ אַרבַּעֵסרֵא֞ סס ;  0rs9br0  Fbr4  0xy4ml  0md9  Lbbd  Fwlg  Nmw  0rs9br0  Fbr4  Lbbd    Fwlgl  0md9  dywd  Nmw  0rs9br0  Fbr4  dywdl  0md9  Mhrb0  Nm  Fbr4  Lykh  Nyhlk  
18;Mat 1:18;Não consta na obra original.;Ora, o nascimento de Yeshua HaMashiach foi assim: Estando Miriyam, sua mãe, desposada com Yosef, antes de se ajuntarem, ela se achou ter concebido da Ruach HaKodesh.;A origem de Jesus Cristo foi assim: Maria, sua mãe, comprometida em casamento com José, antes que coabitassem, achou-se grávida pelo Espírito Santo. ; Ora, o nascimento de Jesus Cristo foi assim: Estando Maria, sua mãe, desposada com José, antes de se ajuntarem, achou-se ter concebido do Espírito Santo.; Ora, o nascimento de Jesus Cristo foi assim: Estando Maria, sua mãe, desposada com José, antes de se ajuntarem, achou-se ter concebido do Espírito Santo.; Ora, o nascimento de Jesus Cristo foi assim: Estando Maria, sua mäe, desposada com José, antes de se ajuntarem, achou-se ter concebido do Espírito Santo.;" O nascimento de Jesus Cristo foi assim: Maria, sua mäe, tinha o casamento tratado com José; mas, antes de casarem, achou-se grávida pelo poder do Espírito Santo.";"O nascimento de Jesus Cristo foi assim: Maria, sua mãe, tinha o casamento tratado com José; mas, antes de casarem, achou-se grávida pelo poder do Espírito Santo."; Ora, o nascimento de Jesus Cristo foi assim: estando Maria, sua mãe, desposada com José, sem que tivessem antes coabitado, achou-se grávida pelo Espírito Santo.; O nascimento de Jesus Cristo ocorreu da seguinte maneira: Estando Maria, sua mãe, prometida em casamento a José, antes que coabitassem, achou-se grávida pelo Espírito Santo.; Τοῦ δὲ Ἰησοῦ Χριστοῦ ἡ γένεσις οὕτως ἦν. μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου.; Τοῦ δὲ Ἰησοῦ Χριστοῦ ἡ γένεσις οὕτως ἦν. μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου.;ילדה דין דישׁוע משׁיחא הכנא הוא כד מכירא הות מרים אמה ליוסף עדלא נשׁתותפון אשׁתכחת בטנא מן רוחא דקודשׁא;יַלדֵּה דֵּין דּ֣יֵשֻׁוע משִׁיחָא הָכַ̅נָא הוָא֖ כַּד̅ מכִ̅ירָא ה֗וָת̅ מַ֣ריַם אֵמֵה ל֣יַוסֵף֑̅ עַד̅לָא נֵשׁתַּותּפֻ̅ון֑ אֵשׁתַּכ̅חַת̅ בַּטנָא מֵן רֻוחָא דּקֻוד̅שָׁא ס ;  04dwqd  0xwr  Nm  0n=b  txkt40    Jwptwt4n  fd9  Pswyl  hm0  Myrm  twh  0rykm  dk  0wh  0nkh  0xy4m  (w4yd  Nyd  hdly  
19;Mat 1:19;Não consta na obra original.;E como Yosef, seu esposo, era justo, e não a queria infamar, intentou deixá−la secretamente.;José, seu esposo, sendo justo e não querendo denunciá-la publicamente, resolveu repudiá-la em segredo. ; Então José, seu marido, como era justo, e a não queria infamar, intentou deixá-la secretamente.; Então, José, seu marido, como era justo e a não queria infamar, intentou deixá-la secretamente.; Entäo José, seu marido, como era justo, e a näo queria infamar, intentou deixá-la secretamente.; José, o seu noivo, que era justo, näo a queria acusar publicamente. Por isso pensou deixá-la sem dizer nada.;José, o seu noivo, que era justo, não a queria acusar publicamente. Por isso pensou deixá-la sem dizer nada.; Mas José, seu esposo, sendo justo e não a querendo infamar, resolveu deixá-la secretamente.; Então, José, seu esposo, sendo um homem justo e não querendo expô-la à desonra pública, planejou deixá-la sem que ninguém soubesse a razão.; Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν.; Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν.;יוסף דין בעלה כאנא הוא ולא צבא דנפרסיה ואתרעי הוא דמטשׁיאית נשׁריה;יַ֣וסֵף̅ דֵּין בַּעלָה כִּאנָא ה֗וָא֖ ולָא צבָ̅א דַּנפַ̅רסֵיה֖ וֵאת̅רַעִי ה֗וָא֖ דּמַטשׁיָאיִת̅ נֵשׁרֵיה֖ ;  hyr4n  ty0y4=md  0wh  Y9rt0w  hysrpnd  0bc  fw  0wh  0n0k  hl9b  Nyd  Pswy  
20;Mat 1:20;Não consta na obra original.;"E, projetando ele isso, eis que em sonho lhe apareceu um anjo de ADONAI, dizendo: Yosef, filho de David, não temas receber a Miriyam, tua mulher, pois o que nela se gerou é da Ruach HaKodesh;";"Enquanto assim decidia, eis que o Anjo do Senhor manifestou- se a ele em sonho, dizendo: ""José, filho de Davi, não temas receber Maria, tua mulher, pois o que nela foi gerado vem do Espírito Santo. ";" E, projetando ele isto, eis que em sonho lhe apareceu um anjo do Senhor, dizendo: José, filho de Davi, não temas receber a Maria, tua mulher, porque o que nela está gerado é do Espírito Santo;"; E, projetando ele isso, eis que, em sonho, lhe apareceu um anjo do Senhor, dizendo: José, filho de Davi, não temas receber a Maria, tua mulher, porque o que nela está gerado é do Espírito Santo.;" E, projetando ele isto, eis que em sonho lhe apareceu um anjo do Senhor, dizendo: José, filho de Davi, näo temas receber a Maria, tua mulher, porque o que nela está gerado é do Espírito Santo;";" Andava ele a pensar nisto, quando lhe apareceu num sonho um anjo do Senhor que lhe disse: ""José, descendente de David, näo tenhas medo de casar com Maria, tua noiva, pois o que nela se gerou foi pelo poder do Espírito Santo.";"Andava ele a pensar nisto, quando lhe apareceu num sonho um anjo do Senhor que lhe disse: ""José, descendente de David, não tenhas medo de casar com Maria, tua noiva, pois o que nela se gerou foi pelo poder do Espírito Santo."; Enquanto ponderava nestas coisas, eis que lhe apareceu, em sonho, um anjo do Senhor, dizendo: José, filho de Davi, não temas receber Maria, tua mulher, porque o que nela foi gerado é do Espírito Santo.; Mas, enquanto meditava sobre isso, eis que, em sonho, lhe apareceu um anjo do SENHOR, dizendo: “José, filho de Davi, não temas receber a Maria como sua mulher, pois o que nela está gerado é do Espírito Santo.; ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατ᾽ ὄναρ ἐφάνη αὐτῷ λέγων, Ἰωσὴφ υἱὸς Δαυείδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαμ τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου·; ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατ᾽ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου· τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου.;כד הלין דין אתרעי אתחזי לה מלאכא דמריא בחלמא ואמר לה יוסף ברה דדויד לא תדחל למסב למרים אנתתך הו גיר דאתילד בה מן רוחא הו דקודשׁא;כַּד̅ הָלֵין דֵּין אֵת̅רַעִי֑ אֵת̅חזִי לֵה מַלַאכָ̅א דּמָריָא בּחֵלמָא֖ וֵאמַר לֵה֖ יַ֣וסֵף̅ בּרֵה דּ֣דַ̅וִיד֑̅ לָא תֵּד̅חַל למֵסַב̅ ל֣מַריַם אַנ֗תּתָ̅ך֖̅ הַו גֵּיר דֵּאתִ̅ילֵד̅ בָּה֑ מֵן רֻוחָא הֻו דּקֻוד̅שָׁא֖ ;  04dwqd  wh  0xwr  Nm  hb  dlyt0d  ryg  wh  <ttn0  Myrml  Bsml  Lxdt    f  dywdd  hrb  Pswy  hl  rm0w  0mlxb  0yrmd  0k0lm  hl  Yzxt0  Y9rt0  Nyd  Nylh  dk  
21;Mat 1:21;Não consta na obra original.;"ela dará à luz um filho, e ela o chamará Yeshua; porque ele salvará o seu povo de todos os seus pecados.";"21Ela dará à luz um filho e tu o chamarás com o nome de Jesus, pois ele salvará o seu povo dos seus pecados"". ";" E dará à luz um filho e chamarás o seu nome JESUS; porque ele salvará o seu povo dos seus pecados."; E ela dará à luz um filho, e lhe porás o nome de JESUS, porque ele salvará o seu povo dos seus pecados.;" E dará à luz um filho e chamarás o seu nome JESUS; porque ele salvará o seu povo dos seus pecados.";" Ela dará à luz um filho e tu vais pôr-lhe o nome de Jesus, pois ele salvará o seu povo dos pecados."" ";"Ela dará à luz um filho e tu vais pôr-lhe o nome de Jesus , pois ele salvará o seu povo dos pecados."" "; Ela dará à luz um filho e lhe porás o nome de Jesus, porque ele salvará o seu povo dos pecados deles.; Ela dará à luz um filho, e lhe porás o nome de Jesus, porque Ele salvará o seu povo dos seus pecados”.; τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν, αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.; τέξεται δὲ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν· αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.;תאלד דין ברא ותקרא שׁמה ישׁוע הו גיר נחיוהי לעמה מן חטהיהון;תִּאלַד̅ דֵּין בּרָא֑ ותֵ̅קרֵא שׁמֵה יֵ֣שֻׁוע֖ הֻו גֵּיר נַחֵיוה֗י לעַמֵה מֵן חטָהַיהֻון֖֞ ;  Jwhyh=x  Nm  hm9l  Yhwyxn  ryg  wh  (w4y  hm4  0rqtw  0rb  Nyd  dl0t  
22;Mat 1:22;Não consta na obra original.;Ora, tudo isso aconteceu para que se cumprisse o que fora dito da parte de ADONAI pelo profeta:;Tudo isso aconteceu para que se cumprisse o que o Senhor havia dito pelo profeta: ;" Tudo isto aconteceu para que se cumprisse o que foi dito da parte do Senhor, pelo profeta, que diz;"; Tudo isso aconteceu para que se cumprisse o que foi dito da parte do Senhor pelo profeta, que diz:;" Tudo isto aconteceu para que se cumprisse o que foi dito da parte do Senhor, pelo profeta, que diz;"; Tudo isto aconteceu para se cumprir o que o Senhor tinha dito pelo profeta:;Tudo isto aconteceu para se cumprir o que o Senhor tinha dito pelo profeta:; Ora, tudo isto aconteceu para que se cumprisse o que fora dito pelo Senhor por intermédio do profeta:; Tudo isso aconteceu para que se cumprisse o que o SENHOR havia dito através do profeta:; τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος,; τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος·;הדא דין כלה דהות דנתמלא מדם דאתאמר מן מריא ביד נביא;הָדֵ̅א דֵּין כֻּלָה דַּהוָת֑̅ דּנֵת̅מַלֵא מֵדֵּם דֵּאתֵ̅אמַר מֵן מָריָא בּיַד̅ נבִ̅יָא֑ ;  0ybn  dyb  0yrm  Nm  rm0t0d  Mdm  fmtnd  twhd  hlk  Nyd  0dh  
23;Mat 1:23;Não consta na obra original.;Eis que a virgem conceberá e dará à luz um filho, o qual será chamado Immanu'el [que traduzido é: Elohim conosco].;"Eis que a virgem conceberá e dará à luz um filho e o chamarão com o nome de Emanuel, o que traduzido significa: ""Deus está conosco"". "; Eis que a virgem conceberá, e dará à luz um filho, E chamá-lo-ão pelo nome de EMANUEL, Que traduzido é: Deus conosco.; Eis que a virgem conceberá e dará à luz um filho, e ele será chamado pelo nome de EMANUEL. (EMANUEL traduzido é: Deus conosco).; Eis que a virgem conceberá, e dará à luz um filho, E chamá-lo-äo pelo nome de EMANUEL, Que traduzido é: Deus conosco.; [A virgem ficará grávida e dará à luz um filho que se há-de chamar Emanuel]. Emanuel quer dizer: Deus está connosco. ;[A virgem ficará grávida e dará à luz um filho que se há de chamar Emanuel] . Emanuel quer dizer: Deus está connosco. ; Eis que a virgem conceberá e dará à luz um filho, e ele será chamado pelo nome de Emanuel (que quer dizer: Deus conosco).; “Eis que a virgem conceberá e dará à luz um filho, e Ele será chamado de Emanuel”, que significa “Deus conosco”.; ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ, ὅ ἐστιν μεθερμηνευόμενον μεθ᾽ ἡμῶν ὁ θεός.; ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ, ὅ ἐστιν μεθερμηνευόμενον μεθ᾽ ἡμῶν ὁ θεός.;דהא בתולתא תבטן ותאלד ברא ונקרון שׁמה עמנואיל דמתתרגם עמן אלהן;דּהָא בּתֻ̅ולתָּא תֵּב̅טַן ותִ̅אלַד̅ בּרָא֑ ונֵקרֻון שׁמֵה עַ֣מַנֻואיִל דּמֵתּתַּרגַּם עַמַן אַלָהַן֖ ;  Jhl0  Nm9  Mgrttmd  Ly0wnm9  hm4  Jwrqnw  0rb  dl0tw  N=bt  Flwtb  0hd  
